Inf,Name,DrbPG,ShT/90,Shot %,Int/90,Tck R,ShT,Shots,Distance,Av Rat,Division,Fls,Gls,Pens,Tck W,Tck A,Shot/90,Ps C/90,Pas %,Ps A/90,Off,Mstks,Gl Mst,K Tck,K Ps/90,K Hdrs,Itc,Hdr %,Hdrs W/90,Drb,Dist/90,Cr C,Cr C/A,Cr A,Ch C/90,Pens S,Aer A/90,Asts/90,Mins,Birth City,Age
,Daniel Smuga,2.25,0.46,33%,0.82,67%,14,42,225.1km,6.65,Polish Third Division Group 1,57,3,0,32,48,1.37,20.78,70%,29.72,71,0,0,0,0.03,5,25,65%,2.90,69,0.0km,23,29%,77,0.70,0,4.47,-,"2,759",Warsaw,23
,Titas Milašius,2.55,0.71,46%,1.19,71%,28,61,302.9km,7.03,Polish Third Division Group 1,38,7,0,32,45,1.54,20.92,67%,31.37,68,11,0,0,0.58,5,47,58%,1.69,101,0.0km,31,25%,122,2.55,0,2.93,0.23,"3,558",Vilnius,19
,Jakub Prylinski,-,0.55,42%,-,60%,22,53,0.0km,7.25,Polish Fourth Division,17,3,0,47,78,1.32,14.70,72%,20.46,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.22,"3,607",-,19
,Wojciech Bzdega,-,0.71,36%,-,92%,29,81,0.0km,7.45,Polish Fourth Division,58,5,0,76,83,1.98,13.85,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.05,"3,690",Gostyn,32
,Mateusz Ozimek,2.83,0.00,0%,2.26,100%,0,2,14.2km,6.63,Polish Third Division Group 4,2,0,0,2,2,1.13,20.38,65%,31.13,5,0,0,0,-,0,4,17%,0.57,5,0.0km,1,20%,5,0.57,0,3.40,-,159,-,19
,Mikolaj Midzio,3.00,0.92,31%,1.39,48%,8,26,55.6km,6.51,Polish Third Division Group 2,12,2,0,19,40,3.00,15.02,57%,26.57,28,1,0,0,-,0,12,39%,1.50,26,0.0km,2,9%,21,2.29,0,3.81,-,779,-,20
,Marek Sobik,3.05,1.25,49%,1.43,71%,44,90,325.8km,7.21,Polish Third Division Group 3,32,16,0,25,35,2.57,23.78,73%,32.45,54,21,0,0,0.66,17,50,62%,3.14,107,0.0km,48,23%,201,1.97,0,5.05,0.29,"3,156",Wodzislaw Slaski,31
,Hubert Maslanka,3.83,0.55,35%,0.79,68%,16,46,188.2km,6.93,Polish Third Division Group 4,34,4,0,38,56,1.57,19.80,65%,30.64,71,0,0,0,0.14,1,23,62%,1.78,112,0.0km,38,32%,116,1.92,0,2.87,0.10,"2,632",Nowy Sacz,22
,Janusz Gancarczyk,-,0.49,33%,-,78%,20,61,0.0km,6.43,Polish Fourth Division,47,2,2,28,36,1.49,13.27,66%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,2,-,0.20,"3,690",Olawa,35
,Jakub Siga,1.89,0.26,24%,1.74,60%,7,29,217.8km,6.80,Polish Third Division Group 2,29,1,0,52,87,1.10,15.81,63%,25.20,22,3,0,6,0.30,1,46,54%,1.74,50,0.0km,38,35%,108,2.46,0,3.22,0.11,"2,379",-,18
Inj,Adam Borkowski,0.84,0.17,15%,1.39,66%,4,26,135.3km,6.77,Polish Third Division Group 3,36,0,0,57,87,1.10,14.60,66%,21.98,7,7,0,8,0.17,6,33,65%,2.11,20,0.0km,27,35%,77,0.38,0,3.25,-,"2,133",Poznan,19
Inj,Dawid Rudnik,3.17,0.83,38%,1.00,-,5,13,39.0km,6.87,Polish Fourth Division,5,3,0,-,0,2.17,13.17,61%,21.67,13,0,0,0,0.33,2,6,53%,1.33,19,0.0km,7,33%,21,0.33,0,2.50,-,540,-,20
Inj,Michael Ameyaw,1.12,0.42,50%,1.45,50%,9,18,137.9km,6.73,Polish Second Division,11,2,0,12,24,0.84,15.67,64%,24.48,15,1,0,0,0.70,4,31,62%,1.68,24,0.0km,15,28%,53,1.31,0,2.70,0.19,"1,930",Lodz,19
Wnt,Marcin Pienkowski,2.90,0.49,35%,1.24,66%,17,48,235.6km,6.77,Polish Third Division Group 1,42,4,0,25,38,1.38,15.02,61%,24.45,88,2,0,0,0.37,8,43,73%,3.07,101,0.0km,23,27%,85,1.41,0,4.22,0.26,"3,133",-,23
,Lukasz Swiderski,3.01,0.64,42%,1.28,76%,10,24,153.2km,6.70,Polish Third Division Group 4,12,3,0,22,29,1.54,23.81,71%,33.35,31,12,0,0,0.32,5,20,60%,2.75,47,0.0km,18,16%,108,0.42,0,4.61,0.13,"1,406",-,20
Inj,Dawid Szalas,2.22,0.15,22%,2.14,69%,2,9,88.9km,7.14,Polish Third Division Group 3,15,2,0,9,13,0.69,13.00,60%,21.72,7,0,0,0,0.38,3,28,54%,1.45,29,0.0km,21,38%,54,3.06,0,2.68,0.23,"1,177",Kielce,21
Inj,Piotr Samiec-Talar,3.15,0.86,55%,1.06,65%,21,38,181.1km,7.22,Polish Third Division Group 3,18,11,0,13,20,1.55,33.09,71%,46.70,42,5,0,0,0.57,4,26,55%,2.57,77,0.0km,26,37%,69,0.86,0,4.66,0.12,"2,203",Sroda Slaska,18
,Marcel Wedrychowski,0.71,0.36,38%,1.31,65%,3,8,45.2km,6.56,Polish Third Division Group 2,15,1,0,13,20,0.95,15.20,70%,21.73,0,2,0,0,0.12,0,11,63%,1.42,6,0.0km,4,26%,15,0.47,0,2.26,-,758,-,18
,Patryk Kura,-,0.46,42%,-,77%,19,45,0.0km,7.07,Polish Fourth Division,29,2,0,44,57,1.10,13.59,68%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,690",Krakow,21
,Adrian Nowak,-,1.68,52%,-,81%,69,132,0.0km,7.43,Polish Fourth Division,24,18,2,46,57,3.22,12.10,60%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,2,-,0.07,"3,690",Rzeszow,24
,Lukasz Strug,0.84,0.84,27%,-,80%,3,11,7.4km,6.32,Polish Second Division,7,1,0,4,5,3.08,15.42,73%,21.03,0,2,0,0,-,1,0,100%,0.28,3,0.0km,0,0%,3,-,0,0.28,0.28,321,Swidnik,23
,Radoslaw Mikolajczak,2.44,0.51,44%,0.98,83%,21,48,261.6km,6.72,Polish Third Division Group 2,94,8,0,10,12,1.17,18.78,69%,27.39,113,0,0,1,0.37,4,40,58%,2.05,100,0.0km,38,36%,103,1.21,0,3.56,-,"3,690",Koszalin,31
,Jakub Piela,2.65,0.46,34%,1.10,68%,15,44,179.6km,6.99,Polish Third Division Group 1,27,4,0,23,34,1.34,16.91,65%,25.84,81,1,0,0,0.34,1,36,58%,1.61,87,0.0km,49,37%,130,2.90,0,2.77,0.12,"2,954",Lodz,18
,Michal Karlikowski,1.05,0.10,20%,1.45,64%,3,15,188.8km,6.79,Polish Fourth Division,37,1,0,49,76,0.49,15.65,67%,23.46,10,3,0,7,0.26,2,44,69%,0.96,32,0.0km,27,33%,80,0.82,0,1.38,0.03,"2,732",Lodz,22
,Krystian Sornat,-,0.60,44%,-,82%,24,54,0.0km,7.06,Polish Fourth Division,65,3,0,46,56,1.34,13.56,66%,20.40,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,618",Kielce,22
,Maciej Kolasa,0.63,0.38,47%,1.75,65%,9,19,138.8km,6.62,Polish Fourth Division,21,1,0,55,85,0.79,20.60,68%,30.21,25,0,0,0,0.29,1,42,69%,2.47,15,0.0km,16,28%,57,1.91,0,3.59,0.13,"2,154",-,24
Yth,Wojciech Kurlapski,1.61,0.28,26%,1.06,44%,11,42,262.0km,6.52,Polish Fourth Division,107,4,0,4,9,1.06,16.02,65%,24.47,77,1,0,0,0.48,6,42,62%,1.61,64,0.0km,42,33%,127,1.54,0,2.59,0.10,"3,578",Choszczno,18
,Bartosz Stencel,1.87,1.01,46%,0.86,53%,13,28,84.5km,6.69,Polish Third Division Group 2,10,6,0,20,38,2.18,15.79,62%,25.59,31,0,0,0,-,1,11,37%,1.17,24,0.0km,10,27%,37,0.55,0,3.19,-,"1,157",Kartuzy,24
,Patryk Slupianek,2.03,0.61,43%,0.85,35%,17,40,163.8km,6.70,Polish Fourth Division,33,7,0,11,31,1.42,12.78,58%,21.86,49,3,0,0,0.14,4,24,32%,1.25,57,0.0km,31,38%,81,1.14,0,3.95,0.04,"2,528",-,22
,Pawel Wojowski,1.20,0.45,43%,0.96,57%,17,40,267.1km,6.97,Polish Third Division Group 2,12,7,0,56,99,1.07,14.65,62%,23.50,23,6,0,9,0.24,3,36,62%,1.66,45,0.0km,39,33%,118,2.22,0,2.67,0.11,"3,366",Kartuzy,25
Inj,Kamil Kargulewicz,1.81,0.48,57%,0.48,57%,4,7,90.4km,6.53,Polish Third Division Group 4,20,1,0,12,21,0.85,27.70,80%,34.72,4,15,0,0,0.24,0,4,27%,1.21,15,0.0km,7,14%,47,0.36,0,4.48,-,744,Staszow,19
Wnt,Grzegorz Piesio,1.04,0.47,41%,2.56,55%,15,37,238.2km,7.05,Polish Third Division Group 2,58,2,0,38,69,1.17,28.45,70%,40.72,23,0,0,5,0.63,7,81,75%,3.07,33,0.0km,43,34%,125,2.86,0,4.11,0.22,"2,847",Garwolin,31
Inj,Jerzy Munik,1.25,0.25,33%,0.75,100%,1,3,18.2km,6.62,Polish Third Division Group 1,3,0,0,3,3,0.75,16.04,66%,24.32,5,0,0,0,0.75,0,3,63%,1.25,5,0.0km,2,40%,5,0.75,0,2.01,-,359,Warsaw,18
,Eryk Olejnik,3.55,0.18,40%,0.98,54%,2,5,62.6km,6.38,Polish Fourth Division,23,1,0,7,13,0.44,14.66,63%,23.46,39,0,0,0,-,1,11,44%,1.51,40,0.0km,4,15%,26,0.09,0,3.46,-,"1,013",Krakow,17
,Slawomir Chmiel,2.62,0.28,35%,0.89,58%,7,20,174.8km,6.55,Polish Fourth Division,34,2,0,19,33,0.81,21.01,71%,29.66,73,3,0,0,0.20,2,22,59%,1.61,65,0.0km,15,22%,66,0.24,0,2.74,0.04,"2,236",Myslenice,18
,Kacper Glowicki,2.00,-,-,-,100%,-,0,5.1km,6.55,Polish Third Division Group 1,2,0,0,3,3,-,-,84%,-,0,1,0,0,-,0,1,-,-,1,-,0,0%,2,-,0,-,-,45,-,19
,Krzysztof Wolkiewicz,2.12,0.72,46%,0.78,74%,22,48,214.4km,6.77,Polish Third Division Group 2,73,3,1,14,19,1.56,19.63,69%,28.39,73,5,1,0,0.62,3,24,56%,1.89,65,0.0km,27,32%,84,2.43,1,3.39,0.20,"2,764",Szamotuly,28
,Michal Gradz,1.42,0.57,57%,1.28,59%,4,7,44.6km,6.55,Polish Third Division Group 4,5,2,0,16,27,0.99,14.60,60%,24.52,9,0,0,0,0.43,0,9,67%,1.98,10,0.0km,5,21%,23,1.30,0,2.98,0.14,635,Chelm,19
,Pawel Wojcicki,1.22,0.23,31%,0.99,55%,5,16,154.5km,6.70,Polish Third Division Group 4,15,4,0,27,49,0.72,18.08,65%,27.69,31,5,0,0,0.14,0,22,63%,0.45,27,0.0km,30,36%,83,1.44,0,0.72,0.09,"1,996",-,19
,Aleksander Pawlak,3.23,0.46,38%,0.92,59%,13,34,188.5km,6.97,Polish Fourth Division,32,4,0,20,34,1.21,22.81,69%,33.15,75,4,0,1,0.36,6,26,63%,1.95,91,0.0km,44,34%,126,0.57,0,3.13,0.21,"2,533",Plock,18
,Damian Jaron,0.18,0.15,43%,2.94,74%,6,14,275.5km,6.98,Polish Third Division Group 1,2,1,0,117,159,0.36,20.64,68%,30.31,1,10,0,18,0.36,12,115,76%,2.96,7,0.0km,40,32%,122,1.52,0,3.91,0.13,"3,524",Warsaw,30
,Piotr Kotyla,1.26,0.27,45%,2.48,53%,9,20,200.6km,6.84,Polish Third Division Group 3,9,4,0,41,77,0.60,17.23,66%,26.24,23,0,0,3,0.54,4,83,66%,1.88,42,0.0km,46,33%,138,2.97,0,2.87,0.12,"3,008",Wroclaw,20
,Damian Pawlak,2.24,0.29,31%,1.05,47%,10,32,235.5km,7.01,Polish Third Division Group 2,23,5,1,22,47,0.93,15.13,62%,24.39,24,0,0,4,0.58,6,36,64%,1.86,77,0.0km,43,32%,133,2.87,1,2.90,0.35,"3,100",Poznan,29
,Patryk Podlecki,1.71,0.21,33%,1.07,61%,3,9,80.4km,6.86,Polish Fourth Division,4,0,0,11,18,0.64,14.49,62%,23.41,11,3,0,0,0.64,1,15,55%,1.50,24,0.0km,26,36%,71,2.36,0,2.71,0.43,"1,261",Glowno,18
,Dariusz Frankiewicz,-,0.55,41%,-,82%,22,54,0.0km,7.26,Polish Fourth Division,42,1,0,49,60,1.35,14.58,71%,20.48,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.17,"3,604",Sedziszow Malopolski,33
,Dawid Gajewski,-,0.54,38%,-,84%,22,58,0.0km,7.00,Polish Fourth Division,46,3,0,43,51,1.41,13.85,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.12,"3,690",Knurow,31
Yth,Jakub Maslowski,2.80,0.16,14%,0.82,17%,1,7,28.7km,6.85,Polish Fourth Division,6,0,0,1,6,1.15,12.34,57%,21.55,16,0,0,0,0.49,0,5,50%,0.16,17,0.0km,7,33%,21,0.82,0,0.33,0.49,547,-,18
,Kacper Malinowski,0.93,-,-,1.86,100%,-,0,7.0km,6.70,Polish Fourth Division,3,0,0,3,3,-,25.98,67%,38.97,2,0,0,0,-,0,2,67%,1.86,1,0.0km,1,25%,4,-,0,2.78,-,97,Krakow,20
,Mateusz Gulajski,-,-,-,-,100%,-,0,4.8km,6.60,Polish Third Division Group 2,0,0,0,1,1,-,-,30%,-,0,0,0,0,-,0,0,50%,-,0,-,2,33%,6,-,0,-,-,32,Wejherowo,20
,Marcin Wodecki,0.33,0.36,52%,1.94,62%,14,27,255.6km,6.80,Polish Third Division Group 3,31,5,1,38,61,0.69,18.38,70%,26.20,22,4,0,4,0.38,5,76,64%,2.70,13,0.0km,35,33%,104,1.43,0,4.21,0.08,"3,531",Rybnik,32
Yth,Arkadiusz Mazur,-,-,-,-,100%,-,0,0.0km,-,Polish Third Division Group 4,4,0,0,1,1,-,-,55%,-,0,0,0,0,-,0,0,-,-,0,-,0,0%,0,-,0,-,-,28,Debica,18
,Kamil Lukoszek,3.14,0.96,49%,0.93,48%,31,63,187.7km,7.20,Polish Third Division Group 3,47,15,0,22,46,1.96,18.89,66%,28.46,84,0,0,0,0.28,3,30,33%,1.40,101,0.0km,33,35%,93,2.24,0,4.19,0.22,"2,897",-,18
,Dawid Krawiec,1.32,0.44,33%,1.76,64%,1,3,13.8km,6.70,Polish Third Division Group 4,4,0,0,7,11,1.32,16.68,62%,26.78,3,0,0,0,0.88,0,4,33%,0.88,3,0.0km,0,0%,5,0.44,0,2.63,0.88,205,-,18
,Marcin Bawolik,1.24,0.41,25%,-,83%,1,4,10.7km,6.78,Polish Third Division Group 1,3,0,0,5,6,1.65,18.17,70%,26.01,4,0,0,0,-,0,0,80%,1.65,3,0.0km,1,20%,5,-,0,2.06,-,218,Warsaw,19
Wnt,Filip Dzielak,1.63,0.65,53%,0.65,76%,8,15,66.6km,6.66,Polish Third Division Group 1,32,2,0,29,38,1.23,26.49,69%,38.58,28,1,0,0,0.08,0,8,72%,2.13,20,0.0km,13,33%,39,1.14,0,2.94,0.08,"1,101",Krakow,19
,Dawid Kalinowski,2.61,0.26,32%,0.82,57%,9,28,196.4km,6.68,Polish Third Division Group 2,19,4,0,29,51,0.82,14.72,60%,24.55,60,2,0,1,0.15,4,28,59%,1.50,89,0.0km,44,31%,138,0.74,0,2.55,0.09,"3,069",-,18
,Maciej Bachleda,2.86,0.55,48%,1.06,66%,12,25,137.0km,6.89,Polish Third Division Group 2,17,7,0,19,29,1.15,18.66,67%,27.98,48,6,0,0,0.42,0,23,45%,1.15,62,0.0km,27,29%,93,1.67,0,2.59,0.18,"1,949",-,20
,Mariusz Bedlinski,3.33,0.55,36%,1.16,63%,19,53,242.9km,7.05,Polish Third Division Group 2,29,5,0,30,48,1.53,13.72,60%,22.93,67,2,0,0,0.32,4,40,56%,1.30,115,0.0km,40,27%,144,2.77,0,2.34,0.20,"3,109",-,23
Wnt,Krystian Kruk,3.46,1.15,42%,1.15,56%,5,12,30.0km,6.68,Polish Third Division Group 1,6,2,0,10,18,2.77,17.31,64%,27.23,9,0,0,0,0.23,0,5,43%,0.69,15,0.0km,4,40%,10,0.69,0,1.62,0.23,390,-,17
Yth,Maciej Kucharski,2.31,-,-,-,100%,-,0,5.1km,6.40,Polish Fourth Division,0,0,0,1,1,-,-,91%,-,0,1,0,0,-,0,0,25%,-,1,-,1,33%,3,-,0,-,-,39,Tychy,17
,Damian Szuprytowski,3.52,0.62,39%,0.96,73%,26,66,275.6km,7.15,Polish Second Division,90,7,0,16,22,1.58,18.95,64%,29.47,86,0,0,0,0.77,3,40,54%,1.10,147,0.0km,49,31%,156,4.66,0,2.04,0.26,"3,756",Malbork,30
,Rafal Turczyn,1.51,1.22,49%,2.06,62%,46,93,268.8km,6.90,Polish Third Division Group 4,40,9,0,24,39,2.46,17.79,66%,26.97,47,0,0,2,0.58,8,78,44%,1.90,57,0.0km,21,26%,79,2.15,0,4.31,0.11,"3,404",Zamosc,30
,Tomasz Persona,1.22,0.09,29%,1.31,60%,2,7,159.1km,6.84,Polish Third Division Group 4,7,1,1,27,45,0.32,15.23,64%,23.96,12,6,0,1,0.36,6,29,68%,2.08,27,0.0km,31,33%,93,1.33,1,3.07,0.23,"1,991",Ostrowiec Swietokrzyski,32
,Arkadiusz Wozniak,0.44,0.48,35%,2.05,69%,13,37,228.5km,6.62,Polish Second Division,30,3,0,60,87,1.35,15.16,64%,23.69,13,4,0,3,0.26,5,56,76%,3.73,12,0.0km,14,25%,54,0.99,0,4.91,0.07,"2,458",Lubin,29
,Michal Stec,1.28,0.08,9%,1.20,79%,1,11,87.5km,6.66,Polish Third Division Group 1,27,0,0,30,38,0.88,22.46,69%,32.45,6,7,0,2,0.40,3,15,70%,2.56,16,0.0km,10,25%,40,1.49,0,3.68,-,"1,126",Wysokie Mazowieckie,28
,Rafal Lesniewski,1.74,0.81,38%,2.66,50%,28,73,200.1km,6.83,Polish Third Division Group 2,7,13,0,15,30,2.11,17.27,67%,25.65,58,3,0,0,0.32,9,92,43%,2.28,60,0.0km,33,35%,94,2.08,0,5.35,0.06,"3,112",Wagrowiec,35
,Olexandr Mashnin,1.09,0.27,25%,1.64,75%,1,4,34.8km,6.50,Polish Third Division Group 2,6,0,0,9,12,1.09,28.91,76%,37.91,0,6,0,0,-,0,6,71%,2.73,4,0.0km,4,50%,8,0.55,0,3.82,-,330,Mykolaiv,30
,Vitaliy Dakhnovskyi,1.79,0.30,26%,1.53,68%,10,39,186.0km,6.79,Polish Third Division Group 4,50,2,0,19,28,1.17,14.30,65%,22.01,58,3,0,0,0.30,4,51,61%,2.39,60,0.0km,57,37%,151,1.53,0,3.95,0.18,"3,009",-,21
,Kamil Nitkiewicz,1.73,0.34,34%,2.07,73%,10,29,188.7km,6.98,Polish Third Division Group 3,15,5,0,38,52,0.98,19.43,68%,28.49,39,4,0,8,0.58,6,61,68%,3.12,51,0.0km,31,33%,93,1.46,0,4.58,0.10,"2,650",Milicz,33
,Filip Jagielski,1.52,0.39,36%,1.00,60%,15,42,243.0km,6.91,Polish Third Division Group 2,18,5,0,36,60,1.10,14.74,63%,23.33,19,5,0,5,0.53,4,38,67%,1.97,58,0.0km,48,31%,153,3.73,0,2.94,0.13,"3,426",Inowroclaw,28
,Jacek Kopaniarz,-,1.55,52%,-,68%,65,126,0.0km,7.48,Polish Fourth Division,49,9,0,45,66,3.00,11.74,59%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.17,"3,780",Poznan,30
,Adrian Blad,1.71,0.21,32%,0.88,57%,8,25,279.1km,6.88,Polish Second Division,13,3,0,54,95,0.65,14.60,61%,23.91,26,6,0,7,0.23,4,34,57%,1.40,66,0.0km,48,30%,157,1.55,0,2.43,0.18,"3,482",Lubin,29
,Patryk Stefanski,2.16,0.70,46%,1.17,47%,24,52,218.6km,6.87,Polish Third Division Group 3,19,8,0,14,30,1.52,15.31,63%,24.29,91,0,0,0,0.35,3,40,65%,1.49,74,0.0km,37,33%,111,1.56,0,2.30,0.12,"3,086",Myslowice,30
,David Kwiek,-,0.53,37%,-,90%,21,57,0.0km,7.29,Polish Fourth Division,43,5,0,55,61,1.43,14.32,72%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.23,"3,600",Freiburg,32
,Piotr Ceglarz,1.67,0.39,38%,1.31,54%,15,40,254.5km,7.04,Polish Third Division Group 4,6,9,0,29,54,1.03,16.73,66%,25.48,38,0,0,5,0.62,7,51,65%,1.88,65,0.0km,41,33%,124,2.40,0,2.88,0.41,"3,497",Bielsko-Biala,27
,Mateusz Glinski,-,1.48,49%,-,95%,59,120,0.0km,7.52,Polish Fourth Division,20,20,0,37,39,3.00,12.05,60%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,600",Warsaw,28
,Piotr Darmochwal,1.39,0.50,29%,0.88,72%,4,14,42.0km,6.81,Polish Third Division Group 4,6,0,0,13,18,1.76,19.41,70%,27.86,11,1,0,1,0.25,0,7,70%,2.65,11,0.0km,4,22%,18,0.50,0,3.78,-,714,Tomaszow Lubelski,28
,Cezary Demianiuk,2.64,0.71,37%,0.73,56%,26,70,236.0km,6.89,Polish Second Division,14,8,0,25,45,1.90,13.81,59%,23.55,70,0,0,0,0.27,4,27,65%,1.93,97,0.0km,35,28%,121,1.81,0,2.99,0.08,"3,310",Siedlce,27
